iter	Passed	Remaining
0	139	139411
1	141	70480
2	142	47510
3	144	35988
4	146	29084
5	147	24472
6	149	21171
7	150	18702
8	152	16834
9	154	15295
10	156	14033
11	157	12976
12	159	12077
13	160	11310
14	162	10639
15	163	10052
16	164	9529
17	167	9153
18	169	8745
19	170	8353
20	171	7993
21	172	7669
22	173	7364
23	174	7080
24	174	6819
25	175	6577
26	176	6352
27	177	6144
28	177	5947
29	178	5761
30	178	5589
31	179	5426
32	179	5273
33	180	5132
34	181	4998
35	181	4869
36	182	4747
37	182	4631
38	183	4521
39	184	4417
40	184	4317
41	185	4223
42	185	4133
43	186	4047
44	186	3965
45	187	3886
46	187	3811
47	188	3739
48	189	3670
49	189	3603
50	190	3539
51	190	3477
52	191	3418
53	191	3360
54	192	3306
55	193	3257
56	193	3206
57	194	3157
58	194	3109
59	195	3065
60	196	3022
61	196	2979
62	197	2937
63	198	2895
64	198	2856
65	199	2818
66	199	2780
67	199	2741
68	200	2705
69	201	2674
70	201	2642
71	202	2609
72	203	2578
73	203	2547
74	204	2517
75	204	2488
76	205	2460
77	205	2432
78	206	2405
79	206	2379
80	207	2353
81	207	2328
82	208	2304
83	209	2280
84	209	2254
85	210	2232
86	210	2209
87	211	2188
88	211	2167
89	212	2146
90	212	2126
91	213	2106
92	213	2086
93	214	2067
94	215	2049
95	215	2031
96	216	2012
97	216	1995
98	217	1977
99	217	1960
100	218	1944
101	218	1925
102	219	1909
103	219	1893
104	220	1878
105	220	1863
106	221	1849
107	222	1834
108	222	1820
109	223	1806
110	223	1792
111	224	1778
112	224	1765
113	225	1752
114	226	1740
115	226	1726
116	227	1714
117	227	1702
118	228	1689
119	228	1677
120	229	1665
121	229	1654
122	230	1640
123	230	1629
124	231	1618
125	231	1607
126	232	1596
127	232	1585
128	233	1574
129	233	1564
130	234	1554
131	234	1544
132	235	1535
133	236	1525
134	236	1516
135	237	1506
136	237	1497
137	238	1487
138	238	1478
139	239	1469
140	239	1461
141	240	1453
142	241	1445
143	241	1437
144	242	1429
145	242	1421
146	243	1413
147	244	1405
148	244	1397
149	245	1389
150	245	1381
151	246	1373
152	246	1366
153	247	1358
154	247	1351
155	248	1344
156	249	1337
157	249	1330
158	250	1323
159	250	1316
160	251	1309
161	251	1302
162	252	1295
163	252	1289
164	253	1282
165	253	1276
166	254	1269
167	255	1263
168	255	1257
169	256	1251
170	256	1245
171	257	1239
172	258	1233
173	258	1227
174	259	1221
175	259	1216
176	260	1210
177	260	1204
178	261	1199
179	261	1193
180	262	1186
181	262	1181
182	263	1175
183	263	1170
184	264	1165
185	265	1160
186	265	1154
187	266	1149
188	266	1144
189	267	1139
190	267	1134
191	268	1129
192	268	1124
193	269	1119
194	270	1115
195	270	1110
196	271	1106
197	271	1101
198	272	1096
199	272	1091
200	273	1087
201	274	1082
202	274	1078
203	275	1073
204	275	1069
205	276	1064
206	276	1060
207	277	1056
208	277	1052
209	278	1047
210	279	1043
211	279	1039
212	280	1035
213	280	1031
214	281	1027
215	281	1022
216	282	1018
217	282	1014
218	283	1010
219	284	1006
220	284	1003
221	285	999
222	285	995
223	286	992
224	286	988
225	287	984
226	288	981
227	288	977
228	289	973
229	289	969
230	290	966
231	290	962
232	291	959
233	291	955
234	292	952
235	293	949
236	293	946
237	294	942
238	294	939
239	295	935
240	296	932
241	296	929
242	297	925
243	297	922
244	298	919
245	298	916
246	299	912
247	300	909
248	300	906
249	301	903
250	301	900
251	302	897
252	302	894
253	303	891
254	303	887
255	304	884
256	305	881
257	305	878
258	306	875
259	307	873
260	308	872
261	308	870
262	309	868
263	310	865
264	310	862
265	311	859
266	312	856
267	312	854
268	313	851
269	313	848
270	314	845
271	314	843
272	315	840
273	316	838
274	316	835
275	317	832
276	318	830
277	318	827
278	319	825
279	320	823
280	321	821
281	321	819
282	322	817
283	323	815
284	324	814
285	325	812
286	326	810
287	326	807
288	327	805
289	327	802
290	328	800
291	328	797
292	329	795
293	330	793
294	330	790
295	331	788
296	332	785
297	332	783
298	333	781
299	333	778
300	334	776
301	334	773
302	335	771
303	335	769
304	336	766
305	337	764
306	337	762
307	338	759
308	338	757
309	339	755
310	339	752
311	340	750
312	340	748
313	341	745
314	342	743
315	342	741
316	343	739
317	343	737
318	344	734
319	344	732
320	345	730
321	346	728
322	346	726
323	347	724
324	347	722
325	348	720
326	348	717
327	349	715
328	349	713
329	350	711
330	351	709
331	351	707
332	352	705
333	352	703
334	353	701
335	353	699
336	354	697
337	355	695
338	355	693
339	356	691
340	356	689
341	357	687
342	357	685
343	358	683
344	358	681
345	359	679
346	360	677
347	360	676
348	361	674
349	361	672
350	362	670
351	363	668
352	363	666
353	364	664
354	364	662
355	365	660
356	365	658
357	366	657
358	366	655
359	367	653
360	368	651
361	368	649
362	369	647
363	369	645
364	370	644
365	370	642
366	371	640
367	371	638
368	372	636
369	373	635
370	373	633
371	374	631
372	374	629
373	375	628
374	376	626
375	376	625
376	377	623
377	377	621
378	378	620
379	379	619
380	380	617
381	380	616
382	381	614
383	382	612
384	382	611
385	383	609
386	383	608
387	384	606
388	385	605
389	385	603
390	386	601
391	386	600
392	387	598
393	388	596
394	388	595
395	389	593
396	389	592
397	390	590
398	391	589
399	391	587
400	392	585
401	392	584
402	393	582
403	393	581
404	394	579
405	394	577
406	395	576
407	396	574
408	396	573
409	397	571
410	397	569
411	398	568
412	398	566
413	399	565
414	399	563
415	400	562
416	400	560
417	401	559
418	402	557
419	402	556
420	403	554
421	403	552
422	404	551
423	405	550
424	405	548
425	406	547
426	406	545
427	407	544
428	407	542
429	408	541
430	409	539
431	409	538
432	410	536
433	410	535
434	411	534
435	411	532
436	412	531
437	412	529
438	413	528
439	413	526
440	414	525
441	415	523
442	415	522
443	416	521
444	416	519
445	417	518
446	417	516
447	418	515
448	418	514
449	419	512
450	420	511
451	420	510
452	421	508
453	422	507
454	422	506
455	423	504
456	423	503
457	424	502
458	424	500
459	425	499
460	425	497
461	426	496
462	426	495
463	427	493
464	428	492
465	428	491
466	429	489
467	429	488
468	430	487
469	430	485
470	431	484
471	431	483
472	432	481
473	433	480
474	433	479
475	434	477
476	434	476
477	435	476
478	436	475
479	437	474
480	438	472
481	438	471
482	439	470
483	439	468
484	440	467
485	440	466
486	441	465
487	442	463
488	442	462
489	443	461
490	443	460
491	444	458
492	444	457
493	445	456
494	446	455
495	446	453
496	447	452
497	447	451
498	448	449
499	448	448
500	449	447
501	450	447
502	451	446
503	453	446
504	454	445
505	455	444
506	456	444
507	457	443
508	458	442
509	459	441
510	460	440
511	460	439
512	461	438
513	462	437
514	463	436
515	464	436
516	465	435
517	466	434
518	467	433
519	467	431
520	468	430
521	469	429
522	470	428
523	470	427
524	471	426
525	471	425
526	472	424
527	473	422
528	473	421
529	474	420
530	474	419
531	475	418
532	475	417
533	476	415
534	477	414
535	477	413
536	478	412
537	478	411
538	479	410
